index;L1;L2;L3;L4;Hex1;Hex2;Hex3;Hex4;Hex5;RF;Slot2Out2;Slot2Out3;Slot2Out4;EIC 2,9584 - 3,2623;EIC 18,9014 - 19,4015;EIC 28,9571 - 29,0837
56;-47.03;-6.85;-80.18;-92.95;-45.26;-37.14;-102.1;-22.62;-102.78;105.82;-67.11;-40.73;-62.83;0.0943;0.00345;0.000231
57;-82.21;-118.9;-47.28;-27.36;-25.69;-9.29;-92.42;-28.48;-71.82;20.86;-10.21;-37.94;-119.86;0.0189;0.000709;0.0000205
58;-69.29;-100.11;-20.36;-99.68;-103.46;-102.55;-65.33;-4.54;-106.77;225.77;-111.61;-93.72;-74.74;0.00000868;0.0288;0.00208
59;-74.31;-89.29;-74.31;-78.32;-82.24;-15.07;-25.52;-76.53;-13.37;217.96;-59.8;-18.21;-3.12;0.00000179;0.000528;0.0000541
60;-94.43;-15.49;-53.07;-91.61;-31.4;-64.2;-3.3;-26.46;-87.85;81.5;-103.75;-102.28;-9.65;0.0209;0.000225;0.0000193
61;-67.48;-18.04;-109.57;-51.85;-43.32;-48.23;-48.88;-68.75;-57.04;244.68;-57.63;-16.36;-46.93;0.00000194;0.00105;0.000115
62;-87.22;-101.52;-27.52;-13.59;-49.97;-91.28;-35.76;-65.47;-114.68;264.61;-101.09;-13.32;-56.57;0.00000328;0.00671;0.000747
63;-8.65;-55.78;-105.88;-82.27;-105.22;-73.06;-23.42;-9.92;-19.08;291.68;-51.3;-10.22;-49.4;0.00000119;0.000428;0.0000358
64;-22.47;-90.04;-70.09;-117.07;-55.46;-66.95;-42.98;-95.77;-77.86;50.53;-107.07;-20.7;-51.82;0.218;0.0102;0.00115
65;-110.24;-31.15;-67.51;-8.85;-33.97;-22.64;-27.18;-14.77;-91.19;210.54;-79.65;-80.98;-66.93;0.000512;0.0469;0.00332
66;-44.76;-12.65;-32.66;-96.4;-67.91;-12.97;-29.6;-115.56;-34.24;371.75;-96.23;-50.78;-90.44;0.00000337;0.0436;0.00509
67;-74.71;-72.8;-86.5;-28.01;-41.09;-77.91;-70.53;-75.01;-83.69;379.01;-41.98;-70.31;-35.31;0.00000367;0.000351;0.0000403
68;-92.22;-23.74;-102.93;-117.84;-16.81;-58.82;-59.35;-50.43;-64.13;161.35;-13.13;-101.45;-31.38;0.0000573;0.000144;0.00000933
69;-40.88;-109.3;-99.84;-29.46;-113.84;-20.78;-64.68;-119.29;-70.23;124.22;-52.93;-30.43;-97.21;0.0269;0.0191;0.00202
70;-88.57;-66.53;-72.98;-46.79;-68.95;-118.01;-67.97;-63.41;-101.6;305.26;-62.56;-12.76;-106.53;0.00000318;0.00306;0.000423
71;-106.19;-39.15;-58.26;-45.23;-43.03;-73.64;-19.95;-82.96;-95.32;77.94;-34.24;-91.22;-68.96;0.0494;0.0155;0.00146
72;-119.75;-65.34;-4.48;-69.54;-71.62;-7.74;-79.7;-37.29;-111.7;158.31;-105.8;-90.19;-59.03;0.00756;0.0112;0.000902
73;-20.03;-54.34;-49.46;-100.89;-100.71;-60.84;-5.01;-111.5;-11.9;136.11;-78.16;-16.91;-118.51;0.00106;0.00212;0.000277
74;-17.42;-73.91;-60.41;-64.51;-3.19;-40.89;-94.76;-82.54;-75.83;73.83;-27.04;-34.22;-82.51;0.00396;0.00195;0.000152
75;-98.22;-52.23;-30.53;-103.7;-80.04;-50.63;-36.37;-112.41;-60.98;344.14;-16.97;-86.33;-21.59;0.00000238;0.000241;0.0000228
76;-113.58;-16.78;-94.41;-97.88;-56.69;-16.71;-7.26;-16.59;-72.59;36.24;-69.62;-74.62;-101.28;0.251;0.0157;0.000831
77;-31.06;-63.59;-61.78;-89.63;-102.57;-52.88;-30.64;-87.24;-79.55;380.4;-72.21;-26.91;-36.84;0.0000024;0.00125;0.000164
78;-57.6;-84.61;-40.21;-24.59;-72.98;-19;-105.34;-62.21;-119.71;12.23;-74.68;-105.35;-8.46;0.0883;0.0000364;0.000000343
79;-6.01;-96.91;-104.39;-109.98;-8.77;-71;-0.17;-20.88;-30.42;34.08;-8.46;-43.32;-111.71;0.00336;0.000145;0.0000148
80;-4.7;-4.26;-89.72;-112.63;-98.42;-38.6;-15.34;-51.94;-73.65;203.11;-5.6;-0.97;-79.94;0.00000363;0.0000348;0.00000433
81;-7.62;-115.85;-88.72;-84.08;-46.71;-34.52;-91.01;-91.39;-105.28;95.74;-64.84;-115.93;-45.47;0.145;0.00619;0.000685
82;-53.71;-97.99;-119.71;-79.98;-58.4;-106.14;-12.24;-24.73;-111.27;117.27;-52.54;-109.65;-96.23;0.179;0.04;0.00327
83;-117.38;-114.27;-20.69;-72.77;-20.08;-4.36;-58.75;-107.54;-33.21;362.07;-15.76;-116.94;-18.54;0.00000478;0.000205;0.0000173
84;-38.37;-83.58;-43.88;-77.24;-21.79;-88.44;-100.63;-6.22;-37.97;98.99;-54.99;-65.14;-81.03;0.436;0.0298;0.00295
85;-62.59;-68.78;-71.6;-41.77;-40.71;-35.69;-88.38;-76.82;-53.8;236.86;-91.97;-108.56;-27.99;0.00000243;0.00209;0.000302
86;-33.02;-25.62;-74.63;-86.65;-107.06;-54.45;-11.04;-12.47;-35.81;10.61;-108.2;-24.72;-58.4;0.295;0.00415;0.0000708
87;-29.53;-60.3;-22.51;-0.07;-89.3;-43.64;-83.05;-66.19;-25.04;121.53;-116.83;-52.27;-92.35;0.0348;0.0512;0.00507
88;-105.27;-61.75;-48.03;-54.51;-76.57;-115.75;-75.03;-57.27;-74.9;395.63;-8.16;-82.29;-25.55;0.00000306;0.0000343;0.00000674
89;-21.52;-63.64;-45.87;-60.94;-20.45;-98.52;-113.53;-108.9;-39.16;191.16;-98.53;-79.85;-113.01;0.000192;0.0326;0.00314
90;-70.95;-80.23;-116.71;-95.24;-90.79;-69.12;-98.03;-49.82;-0.87;30.55;-43.54;-21.81;-76.37;0.0517;0.000909;0.0000557
91;-49.63;-34.66;-19.06;-94.19;-12.86;-69.65;-80.52;-68.25;-41.03;150.93;-2.77;-31.43;-61.61;0.0000365;0.00032;0.000032
92;-5.48;-68.16;-8.23;-88.19;-97.64;-55.33;-73.3;-33.2;-107.9;153.34;-104.43;-23.5;-33.89;0.00597;0.00108;0.0000986
93;-28.2;-53.92;-5.5;-22.41;-95.91;-81.3;-108.14;-36.06;-81.61;294.23;-68.31;-64.73;-43.38;0.00000317;0.00448;0.000492
94;-95.18;-9.54;-90.96;-38.46;-16.54;-20.28;-87.34;-73.37;-78.79;314.98;-30.55;-98.13;-53.79;0.00000146;0.000613;0.0000425
95;-50.59;-17.94;-116.18;-74.29;-24.71;-64.98;-61.12;-1.21;-14.55;6.05;-118.02;-45.65;-99.63;0.241;0.000908;0.00000868
96;-13.25;-47.54;-85.66;-10.69;-117.98;-74.92;-18.31;-55.51;-17.47;88.74;-45.67;-106.54;-109.19;0.113;0.0253;0.00209
97;-64.24;-87.71;-101.42;-3.03;-92.96;-58.18;-98.89;-42.37;-89.39;129.36;-2.2;-74.23;-64.34;0.000219;0.0000887;0.0000137
98;-15.15;-105.86;-14.78;-53.93;-96.9;-113.91;-95.51;-93.64;-100.58;350.13;-71.1;-35.81;-114.36;0.00000381;0.0333;0.00474
99;-10.88;-2.38;-32.08;-39.91;-85.79;-46.34;-9.55;-98.59;-98.23;143.39;-49.04;-60.67;-103.56;0.0148;0.0104;0.00115
100;-66.37;-95.58;-25.3;-49.48;-78.03;-111.02;-50.71;-118.48;-103.42;70.23;-110.94;-78.33;-69.84;0.301;0.0271;0.00239
